,,,,,
Problem,Source,Answer,Percent Correct,Hints,Tags
1,USNCO N2020 Part I,A,85%,,
2,USNCO N2020 Part I,D,78%,,
3,USNCO N2020 Part I,B,60%,,
4,USNCO N2020 Part I,B,65%,,
5,USNCO N2020 Part I,A,19%,,
6,USNCO N2020 Part I,B,75%,,
7,USNCO N2020 Part I,D,62%,,
8,USNCO N2020 Part I,C,46%,,
9,USNCO N2020 Part I,C,47%,,
10,USNCO N2020 Part I,A,41%,,
11,USNCO N2020 Part I,A,48%,,
12,USNCO N2020 Part I,D,70%,,
13,USNCO N2020 Part I,B,13%,,
14,USNCO N2020 Part I,B,26%,,
15,USNCO N2020 Part I,A,47%,,
16,USNCO N2020 Part I,B,32%,,
17,USNCO N2020 Part I,C,59%,,
18,USNCO N2020 Part I,B,59%,,
19,USNCO N2020 Part I,C,87%,,
20,USNCO N2020 Part I,A,91%,,
21,USNCO N2020 Part I,D,61%,,
22,USNCO N2020 Part I,B,51%,,
23,USNCO N2020 Part I,B,65%,,
24,USNCO N2020 Part I,D,28%,,
25,USNCO N2020 Part I,A,93%,,
26,USNCO N2020 Part I,A,57%,,
27,USNCO N2020 Part I,B,73%,,
28,USNCO N2020 Part I,D,28%,,
29,USNCO N2020 Part I,B,26%,,
30,USNCO N2020 Part I,B,48%,,
31,USNCO N2020 Part I,C,17%,,
32,USNCO N2020 Part I,B,31%,,
33,USNCO N2020 Part I,A,33%,,
34,USNCO N2020 Part I,D,59%,,
35,USNCO N2020 Part I,A,62%,,
36,USNCO N2020 Part I,B,8%,,
37,USNCO N2020 Part I,D,41%,,
38,USNCO N2020 Part I,D,30%,,
39,USNCO N2020 Part I,C,48%,,
40,USNCO N2020 Part I,D,25%,,
41,USNCO N2020 Part I,A,48%,,
42,USNCO N2020 Part I,A,40%,,
43,USNCO N2020 Part I,D,61%,,
44,USNCO N2020 Part I,D,36%,,
45,USNCO N2020 Part I,D,35%,,
46,USNCO N2020 Part I,B,32%,,
47,USNCO N2020 Part I,C,76%,,
48,USNCO N2020 Part I,A,51%,,
49,USNCO N2020 Part I,A,88%,,
50,USNCO N2020 Part I,D,66%,,
51,USNCO N2020 Part I,A,61%,,
52,USNCO N2020 Part I,A,39%,,
53,USNCO N2020 Part I,C,53%,,
54,USNCO N2020 Part I,C,53%,,
55,USNCO N2020 Part I,B,54%,,
56,USNCO N2020 Part I,D,74%,,
57,USNCO N2020 Part I,C,39%,,
58,USNCO N2020 Part I,B,28%,,
59,USNCO N2020 Part I,A,47%,,
60,USNCO N2020 Part I,C,40%,,
1,USNCO N2019 Part I,B,87%,,
2,USNCO N2019 Part I,D,75%,,
3,USNCO N2019 Part I,C,85%,,
4,USNCO N2019 Part I,D,83%,,
5,USNCO N2019 Part I,C,59%,,
6,USNCO N2019 Part I,C,52%,,
7,USNCO N2019 Part I,C,89%,,
8,USNCO N2019 Part I,D,34%,,
9,USNCO N2019 Part I,B,41%,,
10,USNCO N2019 Part I,C,42%,,
11,USNCO N2019 Part I,A,19%,,
12,USNCO N2019 Part I,A,39%,,
13,USNCO N2019 Part I,A,58%,,
14,USNCO N2019 Part I,C,51%,,
15,USNCO N2019 Part I,B,46%,,
16,USNCO N2019 Part I,C,20%,,
17,USNCO N2019 Part I,A,41%,,
18,USNCO N2019 Part I,C,43%,,
19,USNCO N2019 Part I,A,78%,,
20,USNCO N2019 Part I,A,81%,,
21,USNCO N2019 Part I,D,34%,,
22,USNCO N2019 Part I,C,23%,,
23,USNCO N2019 Part I,B,27%,,
24,USNCO N2019 Part I,D,52%,,
25,USNCO N2019 Part I,A,70%,,
26,USNCO N2019 Part I,A,54%,,
27,USNCO N2019 Part I,D,34%,,
28,USNCO N2019 Part I,C,67%,,
29,USNCO N2019 Part I,C,77%,,
30,USNCO N2019 Part I,B,35%,,
31,USNCO N2019 Part I,C,71%,,
32,USNCO N2019 Part I,C,46%,,
33,USNCO N2019 Part I,A,71%,,
34,USNCO N2019 Part I,D,42%,,
35,USNCO N2019 Part I,A,28%,,
36,USNCO N2019 Part I,B,27%,,
37,USNCO N2019 Part I,C,44%,,
38,USNCO N2019 Part I,B,83%,,
39,USNCO N2019 Part I,B,68%,,
40,USNCO N2019 Part I,B,29%,,
41,USNCO N2019 Part I,B,35%,,
42,USNCO N2019 Part I,B,57%,,
43,USNCO N2019 Part I,D,36%,,
44,USNCO N2019 Part I,C,17%,,
45,USNCO N2019 Part I,B,72%,,
46,USNCO N2019 Part I,B,61%,,
47,USNCO N2019 Part I,D,33%,,
48,USNCO N2019 Part I,C,28%,,
49,USNCO N2019 Part I,D,58%,,
50,USNCO N2019 Part I,A,76%,,
51,USNCO N2019 Part I,A,53%,,
52,USNCO N2019 Part I,D,75%,,
53,USNCO N2019 Part I,B,24%,,
54,USNCO N2019 Part I,C,25%,,
55,USNCO N2019 Part I,D,41%,,
56,USNCO N2019 Part I,C,33%,,
57,USNCO N2019 Part I,B,57%,,
58,USNCO N2019 Part I,B,14%,,
59,USNCO N2019 Part I,C,46%,,
60,USNCO N2019 Part I,A,48%,,
1,USNCO N2018 Part I,B,69%,,
2,USNCO N2018 Part I,B,86%,,
3,USNCO N2018 Part I,C,86%,,
4,USNCO N2018 Part I,D,78%,,
5,USNCO N2018 Part I,A,25%,,
6,USNCO N2018 Part I,D,34%,,
7,USNCO N2018 Part I,B,31%,,
8,USNCO N2018 Part I,A,50%,,
9,USNCO N2018 Part I,C,53%,,
10,USNCO N2018 Part I,C,40%,,
11,USNCO N2018 Part I,D,53%,,
12,USNCO N2018 Part I,C,45%,,
13,USNCO N2018 Part I,D,64%,,
14,USNCO N2018 Part I,C,67%,,
15,USNCO N2018 Part I,B,87%,,
16,USNCO N2018 Part I,A,46%,,
17,USNCO N2018 Part I,C,49%,,
18,USNCO N2018 Part I,D,45%,,
19,USNCO N2018 Part I,C,66%,,
20,USNCO N2018 Part I,B,90%,,
21,USNCO N2018 Part I,A,31%,,
22,USNCO N2018 Part I,B,62%,,
23,USNCO N2018 Part I,D,15%,,
24,USNCO N2018 Part I,A,34%,,
25,USNCO N2018 Part I,C,73%,,
26,USNCO N2018 Part I,D,90%,,
27,USNCO N2018 Part I,D,88%,,
28,USNCO N2018 Part I,D,7%,,
29,USNCO N2018 Part I,B,78%,,
30,USNCO N2018 Part I,D,54%,,
31,USNCO N2018 Part I,C,60%,,
32,USNCO N2018 Part I,D,70%,,
33,USNCO N2018 Part I,A,24%,,
34,USNCO N2018 Part I,D,53%,,
35,USNCO N2018 Part I,A,47%,,
36,USNCO N2018 Part I,D,42%,,
37,USNCO N2018 Part I,D,47%,,
38,USNCO N2018 Part I,A,35%,,
39,USNCO N2018 Part I,B,59%,,
40,USNCO N2018 Part I,B,37%,,
41,USNCO N2018 Part I,D,54%,,
42,USNCO N2018 Part I,C,44%,,
43,USNCO N2018 Part I,D,50%,,
44,USNCO N2018 Part I,B,69%,,
45,USNCO N2018 Part I,A,75%,,
46,USNCO N2018 Part I,D,12%,,
47,USNCO N2018 Part I,C,51%,,
48,USNCO N2018 Part I,C,60%,,
49,USNCO N2018 Part I,C,80%,,
50,USNCO N2018 Part I,A,68%,,
51,USNCO N2018 Part I,C,42%,,
52,USNCO N2018 Part I,B,48%,,
53,USNCO N2018 Part I,C,27%,,
54,USNCO N2018 Part I,A,11%,,
55,USNCO N2018 Part I,B,45%,,
56,USNCO N2018 Part I,C,34%,,
57,USNCO N2018 Part I,D,18%,,
58,USNCO N2018 Part I,B,26%,,
59,USNCO N2018 Part I,A,31%,,
60,USNCO N2018 Part I,B,47%,,
1,USNCO N2017 Part I,B,,,
2,USNCO N2017 Part I,A,,,
3,USNCO N2017 Part I,D,,,
4,USNCO N2017 Part I,D,,,
5,USNCO N2017 Part I,C,,,
6,USNCO N2017 Part I,C,,,
7,USNCO N2017 Part I,A,,,
8,USNCO N2017 Part I,C,,,
9,USNCO N2017 Part I,B,,,
10,USNCO N2017 Part I,A,,,
11,USNCO N2017 Part I,C,,,
12,USNCO N2017 Part I,C,,,
13,USNCO N2017 Part I,B,,,
14,USNCO N2017 Part I,B,,,
15,USNCO N2017 Part I,B,,,
16,USNCO N2017 Part I,B,,,
17,USNCO N2017 Part I,A,,,
18,USNCO N2017 Part I,C,,,
19,USNCO N2017 Part I,D,,,
20,USNCO N2017 Part I,C,,,
21,USNCO N2017 Part I,C,,,
22,USNCO N2017 Part I,D,,,
23,USNCO N2017 Part I,A,,,
24,USNCO N2017 Part I,B,,,
25,USNCO N2017 Part I,C,,,
26,USNCO N2017 Part I,D,,,
27,USNCO N2017 Part I,C,,,
28,USNCO N2017 Part I,C,,,
29,USNCO N2017 Part I,A,,,
30,USNCO N2017 Part I,D,,,
31,USNCO N2017 Part I,C,,,
32,USNCO N2017 Part I,D,,,
33,USNCO N2017 Part I,D,,,
34,USNCO N2017 Part I,C,,,
35,USNCO N2017 Part I,B,,,
36,USNCO N2017 Part I,B,,,
37,USNCO N2017 Part I,D,,,
38,USNCO N2017 Part I,B,,,
39,USNCO N2017 Part I,A,,,
40,USNCO N2017 Part I,B,,,
41,USNCO N2017 Part I,A,,,
42,USNCO N2017 Part I,A,,,
43,USNCO N2017 Part I,B,,,
44,USNCO N2017 Part I,C,,,
45,USNCO N2017 Part I,B,,,
46,USNCO N2017 Part I,B,,,
47,USNCO N2017 Part I,C,,,
48,USNCO N2017 Part I,A,,,
49,USNCO N2017 Part I,A,,,
50,USNCO N2017 Part I,B,,,
51,USNCO N2017 Part I,A,,,
52,USNCO N2017 Part I,A,,,
53,USNCO N2017 Part I,A,,,
54,USNCO N2017 Part I,B,,,
55,USNCO N2017 Part I,B,,,
56,USNCO N2017 Part I,B,,,
57,USNCO N2017 Part I,C,,,
58,USNCO N2017 Part I,D,,,
59,USNCO N2017 Part I,A,,,
60,USNCO N2017 Part I,D,,,
1,USNCO N2016 Part I,D,86%,,
2,USNCO N2016 Part I,B,93%,,
3,USNCO N2016 Part I,A,86%,,
4,USNCO N2016 Part I,A,69%,,
5,USNCO N2016 Part I,D,84%,,
6,USNCO N2016 Part I,B,61%,,
7,USNCO N2016 Part I,B,49%,,
8,USNCO N2016 Part I,B,64%,,
9,USNCO N2016 Part I,B,31%,,
10,USNCO N2016 Part I,D,18%,,
11,USNCO N2016 Part I,C,45%,,
12,USNCO N2016 Part I,C,70%,,
13,USNCO N2016 Part I,A,56%,,
14,USNCO N2016 Part I,D,63%,,
15,USNCO N2016 Part I,B,57%,,
16,USNCO N2016 Part I,A,40%,,
17,USNCO N2016 Part I,B,57%,,
18,USNCO N2016 Part I,A,90%,,
19,USNCO N2016 Part I,D,89%,,
20,USNCO N2016 Part I,D,93%,,
21,USNCO N2016 Part I,A,70%,,
22,USNCO N2016 Part I,D,33%,,
23,USNCO N2016 Part I,D,36%,,
24,USNCO N2016 Part I,C,62%,,
25,USNCO N2016 Part I,B,33%,,
26,USNCO N2016 Part I,C,91%,,
27,USNCO N2016 Part I,B,43%,,
28,USNCO N2016 Part I,C,67%,,
29,USNCO N2016 Part I,C,60%,,
30,USNCO N2016 Part I,A,49%,,
31,USNCO N2016 Part I,D,87%,,
32,USNCO N2016 Part I,B,86%,,
33,USNCO N2016 Part I,C,49%,,
34,USNCO N2016 Part I,C,37%,,
35,USNCO N2016 Part I,B,30%,,
36,USNCO N2016 Part I,B,33%,,
37,USNCO N2016 Part I,A,73%,,
38,USNCO N2016 Part I,C,55%,,
39,USNCO N2016 Part I,A,44%,,
40,USNCO N2016 Part I,B,10%,,
41,USNCO N2016 Part I,B,64%,,
42,USNCO N2016 Part I,A,36%,,
43,USNCO N2016 Part I,A,27%,,
44,USNCO N2016 Part I,D,58%,,
45,USNCO N2016 Part I,C,55%,,
46,USNCO N2016 Part I,D,30%,,
47,USNCO N2016 Part I,A,84%,,
48,USNCO N2016 Part I,B,49%,,
49,USNCO N2016 Part I,D,57%,,
50,USNCO N2016 Part I,A,40%,,
51,USNCO N2016 Part I,C,31%,,
52,USNCO N2016 Part I,D,76%,,
53,USNCO N2016 Part I,D,24%,,
54,USNCO N2016 Part I,B,18%,,
55,USNCO N2016 Part I,A,37%,,
56,USNCO N2016 Part I,B,24%,,
57,USNCO N2016 Part I,C,42%,,
58,USNCO N2016 Part I,A,51%,,
59,USNCO N2016 Part I,C,44%,,
60,USNCO N2016 Part I,B,21%,,
1,USNCO N2015 Part I,A,,,
2,USNCO N2015 Part I,B,,,
3,USNCO N2015 Part I,C,,,
4,USNCO N2015 Part I,A,,,
5,USNCO N2015 Part I,C,,,
6,USNCO N2015 Part I,B,,,
7,USNCO N2015 Part I,B,,,
8,USNCO N2015 Part I,A,,,
9,USNCO N2015 Part I,B,,,
10,USNCO N2015 Part I,C,,,
11,USNCO N2015 Part I,C,,,
12,USNCO N2015 Part I,A,,,
13,USNCO N2015 Part I,C,,,
14,USNCO N2015 Part I,B,,,
15,USNCO N2015 Part I,B,,,
16,USNCO N2015 Part I,B,,,
17,USNCO N2015 Part I,A,,,
18,USNCO N2015 Part I,C,,,
19,USNCO N2015 Part I,A,,,
20,USNCO N2015 Part I,D,,,
21,USNCO N2015 Part I,C,,,
22,USNCO N2015 Part I,D,,,
23,USNCO N2015 Part I,B,,,
24,USNCO N2015 Part I,D,,,
25,USNCO N2015 Part I,A,,,
26,USNCO N2015 Part I,C,,,
27,USNCO N2015 Part I,A,,,
28,USNCO N2015 Part I,C,,,
29,USNCO N2015 Part I,B,,,
30,USNCO N2015 Part I,A,,,
31,USNCO N2015 Part I,D,,,
32,USNCO N2015 Part I,B,,,
33,USNCO N2015 Part I,B,,,
34,USNCO N2015 Part I,D,,,
35,USNCO N2015 Part I,C,,,
36,USNCO N2015 Part I,C,,,
37,USNCO N2015 Part I,D,,,
38,USNCO N2015 Part I,C,,,
39,USNCO N2015 Part I,B,,,
40,USNCO N2015 Part I,B,,,
41,USNCO N2015 Part I,D,,,
42,USNCO N2015 Part I,B,,,
43,USNCO N2015 Part I,C,,,
44,USNCO N2015 Part I,B,,,
45,USNCO N2015 Part I,A,,,
46,USNCO N2015 Part I,D,,,
47,USNCO N2015 Part I,A,,,
48,USNCO N2015 Part I,C,,,
49,USNCO N2015 Part I,B,,,
50,USNCO N2015 Part I,D,,,
51,USNCO N2015 Part I,D,,,
52,USNCO N2015 Part I,C,,,
53,USNCO N2015 Part I,A,,,
54,USNCO N2015 Part I,B,,,
55,USNCO N2015 Part I,A,,,
56,USNCO N2015 Part I,D,,,
57,USNCO N2015 Part I,D,,,
58,USNCO N2015 Part I,D,,,
59,USNCO N2015 Part I,B,,,
60,USNCO N2015 Part I,C,,,
1,USNCO N2014 Part I,D,,,
2,USNCO N2014 Part I,B,,,
3,USNCO N2014 Part I,A,,,
4,USNCO N2014 Part I,C,,,
5,USNCO N2014 Part I,D,,,
6,USNCO N2014 Part I,A,,,
7,USNCO N2014 Part I,C,,,
8,USNCO N2014 Part I,A,,,
9,USNCO N2014 Part I,C,,,
10,USNCO N2014 Part I,D,,,
11,USNCO N2014 Part I,D,,,
12,USNCO N2014 Part I,C,,,
13,USNCO N2014 Part I,C,,,
14,USNCO N2014 Part I,D,,,
15,USNCO N2014 Part I,A,,,
16,USNCO N2014 Part I,D,,,
17,USNCO N2014 Part I,B,,,
18,USNCO N2014 Part I,D,,,
19,USNCO N2014 Part I,A,,,
20,USNCO N2014 Part I,C,,,
21,USNCO N2014 Part I,D,,,
22,USNCO N2014 Part I,A,,,
23,USNCO N2014 Part I,B,,,
24,USNCO N2014 Part I,B,,,
25,USNCO N2014 Part I,A,,,
26,USNCO N2014 Part I,C,,,
27,USNCO N2014 Part I,D,,,
28,USNCO N2014 Part I,C,,,
29,USNCO N2014 Part I,B,,,
30,USNCO N2014 Part I,C,,,
31,USNCO N2014 Part I,B,,,
32,USNCO N2014 Part I,A,,,
33,USNCO N2014 Part I,A,,,
34,USNCO N2014 Part I,B,,,
35,USNCO N2014 Part I,B,,,
36,USNCO N2014 Part I,B,,,
37,USNCO N2014 Part I,C,,,
38,USNCO N2014 Part I,C,,,
39,USNCO N2014 Part I,D,,,
40,USNCO N2014 Part I,B,,,
41,USNCO N2014 Part I,B,,,
42,USNCO N2014 Part I,A,,,
43,USNCO N2014 Part I,B,,,
44,USNCO N2014 Part I,C,,,
45,USNCO N2014 Part I,C,,,
46,USNCO N2014 Part I,C,,,
47,USNCO N2014 Part I,D,,,
48,USNCO N2014 Part I,C,,,
49,USNCO N2014 Part I,B,,,
50,USNCO N2014 Part I,B,,,
51,USNCO N2014 Part I,C,,,
52,USNCO N2014 Part I,B,,,
53,USNCO N2014 Part I,A,,,
54,USNCO N2014 Part I,A,,,
55,USNCO N2014 Part I,A,,,
56,USNCO N2014 Part I,B,,,
57,USNCO N2014 Part I,B,,,
58,USNCO N2014 Part I,A,,,
59,USNCO N2014 Part I,B,,,
60,USNCO N2014 Part I,D,,,
1,USNCO N2013 Part I,C,,,
2,USNCO N2013 Part I,A,,,
3,USNCO N2013 Part I,C,,,
4,USNCO N2013 Part I,B,,,
5,USNCO N2013 Part I,A,,,
6,USNCO N2013 Part I,A,,,
7,USNCO N2013 Part I,A,,,
8,USNCO N2013 Part I,A,,,
9,USNCO N2013 Part I,B,,,
10,USNCO N2013 Part I,D,,,
11,USNCO N2013 Part I,B,,,
12,USNCO N2013 Part I,D,,,
13,USNCO N2013 Part I,B,,,
14,USNCO N2013 Part I,A,,,
15,USNCO N2013 Part I,B,,,
16,USNCO N2013 Part I,C,,,
17,USNCO N2013 Part I,D,,,
18,USNCO N2013 Part I,D,,,
19,USNCO N2013 Part I,C,,,
20,USNCO N2013 Part I,B,,,
21,USNCO N2013 Part I,B,,,
22,USNCO N2013 Part I,C,,,
23,USNCO N2013 Part I,C,,,
24,USNCO N2013 Part I,A,,,
25,USNCO N2013 Part I,A,,,
26,USNCO N2013 Part I,C,,,
27,USNCO N2013 Part I,A,,,
28,USNCO N2013 Part I,D,,,
29,USNCO N2013 Part I,C,,,
30,USNCO N2013 Part I,B,,,
31,USNCO N2013 Part I,A,,,
32,USNCO N2013 Part I,B,,,
33,USNCO N2013 Part I,C,,,
34,USNCO N2013 Part I,D,,,
35,USNCO N2013 Part I,C,,,
36,USNCO N2013 Part I,A,,,
37,USNCO N2013 Part I,B,,,
38,USNCO N2013 Part I,B,,,
39,USNCO N2013 Part I,B,,,
40,USNCO N2013 Part I,B,,,
41,USNCO N2013 Part I,A,,,
42,USNCO N2013 Part I,D,,,
43,USNCO N2013 Part I,C,,,
44,USNCO N2013 Part I,A,,,
45,USNCO N2013 Part I,C,,,
46,USNCO N2013 Part I,D,,,
47,USNCO N2013 Part I,A,,,
48,USNCO N2013 Part I,D,,,
49,USNCO N2013 Part I,D,,,
50,USNCO N2013 Part I,B,,,
51,USNCO N2013 Part I,A,,,
52,USNCO N2013 Part I,B,,,
53,USNCO N2013 Part I,A,,,
54,USNCO N2013 Part I,D,,,
55,USNCO N2013 Part I,D,,,
56,USNCO N2013 Part I,B,,,
57,USNCO N2013 Part I,B,,,
58,USNCO N2013 Part I,D,,,
59,USNCO N2013 Part I,D,,,
60,USNCO N2013 Part I,A,,,
1,USNCO N2012 Part I,D,,,
2,USNCO N2012 Part I,D,,,
3,USNCO N2012 Part I,B,,,
4,USNCO N2012 Part I,D,,,
5,USNCO N2012 Part I,C,,,
6,USNCO N2012 Part I,D,,,
7,USNCO N2012 Part I,A,,,
8,USNCO N2012 Part I,D,,,
9,USNCO N2012 Part I,B,,,
10,USNCO N2012 Part I,B,,,
11,USNCO N2012 Part I,A,,,
12,USNCO N2012 Part I,C,,,
13,USNCO N2012 Part I,A,,,
14,USNCO N2012 Part I,B,,,
15,USNCO N2012 Part I,A,,,
16,USNCO N2012 Part I,B,,,
17,USNCO N2012 Part I,C,,,
18,USNCO N2012 Part I,B,,,
19,USNCO N2012 Part I,B,,,
20,USNCO N2012 Part I,A,,,
21,USNCO N2012 Part I,A,,,
22,USNCO N2012 Part I,C,,,
23,USNCO N2012 Part I,C,,,
24,USNCO N2012 Part I,D,,,
25,USNCO N2012 Part I,A,,,
26,USNCO N2012 Part I,A,,,
27,USNCO N2012 Part I,C,,,
28,USNCO N2012 Part I,B,,,
29,USNCO N2012 Part I,C,,,
30,USNCO N2012 Part I,C,,,
31,USNCO N2012 Part I,D,,,
32,USNCO N2012 Part I,D,,,
33,USNCO N2012 Part I,C,,,
34,USNCO N2012 Part I,A,,,
35,USNCO N2012 Part I,A,,,
36,USNCO N2012 Part I,D,,,
37,USNCO N2012 Part I,B,,,
38,USNCO N2012 Part I,B,,,
39,USNCO N2012 Part I,D,,,
40,USNCO N2012 Part I,A,,,
41,USNCO N2012 Part I,C,,,
42,USNCO N2012 Part I,C,,,
43,USNCO N2012 Part I,A,,,
44,USNCO N2012 Part I,B,,,
45,USNCO N2012 Part I,D,,,
46,USNCO N2012 Part I,C,,,
47,USNCO N2012 Part I,A,,,
48,USNCO N2012 Part I,C,,,
49,USNCO N2012 Part I,A,,,
50,USNCO N2012 Part I,B,,,
51,USNCO N2012 Part I,C,,,
52,USNCO N2012 Part I,D,,,
53,USNCO N2012 Part I,A,,,
54,USNCO N2012 Part I,C,,,
55,USNCO N2012 Part I,A,,,
56,USNCO N2012 Part I,D,,,
57,USNCO N2012 Part I,B,,,
58,USNCO N2012 Part I,C,,,
59,USNCO N2012 Part I,C,,,
60,USNCO N2012 Part I,D,,,
1,USNCO N2011 Part I,D,,,
2,USNCO N2011 Part I,A,,,
3,USNCO N2011 Part I,C,,,
4,USNCO N2011 Part I,B,,,
5,USNCO N2011 Part I,C,,,
6,USNCO N2011 Part I,B,,,
7,USNCO N2011 Part I,D,,,
8,USNCO N2011 Part I,B,,,
9,USNCO N2011 Part I,D,,,
10,USNCO N2011 Part I,C,,,
11,USNCO N2011 Part I,A,,,
12,USNCO N2011 Part I,B,,,
13,USNCO N2011 Part I,A,,,
14,USNCO N2011 Part I,A,,,
15,USNCO N2011 Part I,D,,,
16,USNCO N2011 Part I,B,,,
17,USNCO N2011 Part I,D,,,
18,USNCO N2011 Part I,C,,,
19,USNCO N2011 Part I,D,,,
20,USNCO N2011 Part I,B,,,
21,USNCO N2011 Part I,B,,,
