,,,,,
19,USNCO L2011,A,,,
20,USNCO L2011,B,,,
21,USNCO L2011,B,,,
22,USNCO L2011,A,,,
23,USNCO L2011,D,,,
24,USNCO L2011,A,,,
25,USNCO L2011,A,,,
26,USNCO L2011,A,,,
27,USNCO L2011,A,,,
28,USNCO L2011,D,,,
29,USNCO L2011,B,,,
30,USNCO L2011,B,,,
31,USNCO L2011,D,,,
32,USNCO L2011,D,,,
33,USNCO L2011,C,,,
34,USNCO L2011,C,,,
35,USNCO L2011,A,,,
36,USNCO L2011,B,,,
37,USNCO L2011,C,,,
38,USNCO L2011,B,,,
39,USNCO L2011,B,,,
40,USNCO L2011,C,,,
41,USNCO L2011,C,,,
42,USNCO L2011,B,,,
43,USNCO L2011,C,,,
44,USNCO L2011,D,,,
45,USNCO L2011,D,,,
46,USNCO L2011,B,,,
47,USNCO L2011,B,,,
48,USNCO L2011,D,,,
49,USNCO L2011,D,,,
50,USNCO L2011,A,,,
51,USNCO L2011,A,,,
52,USNCO L2011,B,,,
53,USNCO L2011,C,,,
54,USNCO L2011,C,,,
55,USNCO L2011,B,,,
56,USNCO L2011,C,,,
57,USNCO L2011,C,,,
58,USNCO L2011,B,,,
59,USNCO L2011,A,,,
60,USNCO L2011,D,,,
1,USNCO L2010,D,,,
2,USNCO L2010,A,,,
3,USNCO L2010,B,,,
4,USNCO L2010,C,,,
5,USNCO L2010,A,,,
6,USNCO L2010,A,,,
7,USNCO L2010,D,,,
8,USNCO L2010,B,,,
9,USNCO L2010,C,,,
10,USNCO L2010,B,,,
11,USNCO L2010,D,,,
12,USNCO L2010,A,,,
13,USNCO L2010,C,,,
14,USNCO L2010,D,,,
15,USNCO L2010,D,,,
16,USNCO L2010,C,,,
17,USNCO L2010,A,,,
18,USNCO L2010,C,,,
19,USNCO L2010,A,,,
20,USNCO L2010,A,,,
21,USNCO L2010,A,,,
22,USNCO L2010,B,,,
23,USNCO L2010,C,,,
24,USNCO L2010,D,,,
25,USNCO L2010,B,,,
26,USNCO L2010,D,,,
27,USNCO L2010,A,,,
28,USNCO L2010,C,,,
29,USNCO L2010,B,,,
30,USNCO L2010,C,,,
31,USNCO L2010,D,,,
32,USNCO L2010,D,,,
33,USNCO L2010,C,,,
34,USNCO L2010,A,,,
35,USNCO L2010,D,,,
36,USNCO L2010,C,,,
37,USNCO L2010,B,,,
38,USNCO L2010,C,,,
39,USNCO L2010,A,,,
40,USNCO L2010,B,,,
41,USNCO L2010,C,,,
42,USNCO L2010,A,,,
43,USNCO L2010,A,,,
44,USNCO L2010,D,,,
45,USNCO L2010,B,,,
46,USNCO L2010,C,,,
47,USNCO L2010,C,,,
48,USNCO L2010,D,,,
49,USNCO L2010,D,,,
50,USNCO L2010,B,,,
51,USNCO L2010,A,,,
52,USNCO L2010,A,,,
53,USNCO L2010,D,,,
54,USNCO L2010,B,,,
55,USNCO L2010,C,,,
56,USNCO L2010,C,,,
57,USNCO L2010,D,,,
58,USNCO L2010,A,,,
59,USNCO L2010,D,,,
60,USNCO L2010,B,,,
1,USNCO L2009,B,,,
2,USNCO L2009,D,,,
3,USNCO L2009,C,,,
4,USNCO L2009,A,,,
5,USNCO L2009,B,,,
6,USNCO L2009,A,,,
7,USNCO L2009,B,,,
8,USNCO L2009,C,,,
9,USNCO L2009,C,,,
10,USNCO L2009,D,,,
11,USNCO L2009,B,,,
12,USNCO L2009,A,,,
13,USNCO L2009,B,,,
14,USNCO L2009,D,,,
15,USNCO L2009,A,,,
16,USNCO L2009,A,,,
17,USNCO L2009,D,,,
18,USNCO L2009,C,,,
19,USNCO L2009,C,,,
20,USNCO L2009,B,,,
21,USNCO L2009,D,,,
22,USNCO L2009,D,,,
23,USNCO L2009,C,,,
24,USNCO L2009,A,,,
25,USNCO L2009,C,,,
26,USNCO L2009,A,,,
27,USNCO L2009,B,,,
28,USNCO L2009,D,,,
29,USNCO L2009,C,,,
30,USNCO L2009,A,,,
31,USNCO L2009,C,,,
32,USNCO L2009,C,,,
33,USNCO L2009,A,,,
34,USNCO L2009,B,,,
35,USNCO L2009,D,,,
36,USNCO L2009,C,,,
37,USNCO L2009,C,,,
38,USNCO L2009,D,,,
39,USNCO L2009,A,,,
40,USNCO L2009,B,,,
41,USNCO L2009,A,,,
42,USNCO L2009,D,,,
43,USNCO L2009,B,,,
44,USNCO L2009,A,,,
45,USNCO L2009,C,,,
46,USNCO L2009,B,,,
47,USNCO L2009,D,,,
48,USNCO L2009,D,,,
49,USNCO L2009,C,,,
50,USNCO L2009,A,,,
51,USNCO L2009,D,,,
52,USNCO L2009,C,,,
53,USNCO L2009,B,,,
54,USNCO L2009,C,,,
55,USNCO L2009,D,,,
56,USNCO L2009,D,,,
57,USNCO L2009,A,,,
58,USNCO L2009,B,,,
59,USNCO L2009,D,,,
60,USNCO L2009,A,,,
1,USNCO L2008,A,,,
2,USNCO L2008,D,,,
3,USNCO L2008,A,,,
4,USNCO L2008,B,,,
5,USNCO L2008,D,,,
6,USNCO L2008,A,,,
7,USNCO L2008,C,,,
8,USNCO L2008,C,,,
9,USNCO L2008,D,,,
10,USNCO L2008,B,,,
11,USNCO L2008,D,,,
12,USNCO L2008,A,,,
13,USNCO L2008,B,,,
14,USNCO L2008,A,,,
15,USNCO L2008,C,,,
16,USNCO L2008,C,,,
17,USNCO L2008,D,,,
18,USNCO L2008,D,,,
19,USNCO L2008,A,,,
20,USNCO L2008,D,,,
21,USNCO L2008,A,,,
22,USNCO L2008,C,,,
23,USNCO L2008,B,,,
24,USNCO L2008,A,,,
25,USNCO L2008,A,,,
26,USNCO L2008,D,,,
27,USNCO L2008,C,,,
28,USNCO L2008,B,,,
29,USNCO L2008,B,,,
30,USNCO L2008,C,,,
31,USNCO L2008,A,,,
32,USNCO L2008,D,,,
33,USNCO L2008,D,,,
34,USNCO L2008,B,,,
35,USNCO L2008,B,,,
36,USNCO L2008,A,,,
37,USNCO L2008,C,,,
38,USNCO L2008,A,,,
39,USNCO L2008,B,,,
40,USNCO L2008,D,,,
41,USNCO L2008,B,,,
42,USNCO L2008,A,,,
43,USNCO L2008,D,,,
44,USNCO L2008,C,,,
45,USNCO L2008,D,,,
46,USNCO L2008,B,,,
47,USNCO L2008,C,,,
48,USNCO L2008,B,,,
49,USNCO L2008,C,,,
50,USNCO L2008,A,,,
51,USNCO L2008,B,,,
52,USNCO L2008,C,,,
53,USNCO L2008,C,,,
54,USNCO L2008,B,,,
55,USNCO L2008,A,,,
56,USNCO L2008,D,,,
57,USNCO L2008,B,,,
58,USNCO L2008,C,,,
59,USNCO L2008,B,,,
60,USNCO L2008,A,,,
1,USNCO L2007,C,,,
2,USNCO L2007,C,,,
3,USNCO L2007,D,,,
4,USNCO L2007,A,,,
5,USNCO L2007,D,,,
6,USNCO L2007,B,,,
7,USNCO L2007,D,,,
8,USNCO L2007,B,,,
9,USNCO L2007,A,,,
10,USNCO L2007,A,,,
11,USNCO L2007,B,,,
12,USNCO L2007,C,,,
13,USNCO L2007,A,,,
14,USNCO L2007,A,,,
15,USNCO L2007,D,,,
16,USNCO L2007,B,,,
17,USNCO L2007,C,,,
18,USNCO L2007,C,,,
19,USNCO L2007,D,,,
20,USNCO L2007,C,,,
21,USNCO L2007,A,,,
22,USNCO L2007,B,,,
23,USNCO L2007,C,,,
24,USNCO L2007,A,,,
25,USNCO L2007,D,,,
26,USNCO L2007,C,,,
27,USNCO L2007,D,,,
28,USNCO L2007,B,,,
29,USNCO L2007,D,,,
30,USNCO L2007,D,,,
31,USNCO L2007,A,,,
32,USNCO L2007,D,,,
33,USNCO L2007,D,,,
34,USNCO L2007,C,,,
35,USNCO L2007,D,,,
36,USNCO L2007,B,,,
37,USNCO L2007,A,,,
38,USNCO L2007,D,,,
39,USNCO L2007,B,,,
40,USNCO L2007,C,,,
41,USNCO L2007,B,,,
42,USNCO L2007,C,,,
43,USNCO L2007,C,,,
44,USNCO L2007,B,,,
45,USNCO L2007,A,,,
46,USNCO L2007,A,,,
47,USNCO L2007,B,,,
48,USNCO L2007,A,,,
49,USNCO L2007,D,,,
50,USNCO L2007,A,,,
51,USNCO L2007,A,,,
52,USNCO L2007,C,,,
53,USNCO L2007,B,,,
54,USNCO L2007,C,,,
55,USNCO L2007,D,,,
56,USNCO L2007,C,,,
57,USNCO L2007,D,,,
58,USNCO L2007,B,,,
59,USNCO L2007,B,,,
60,USNCO L2007,A,,,
1,USNCO L2006,D,,,
2,USNCO L2006,C,,,
3,USNCO L2006,B,,,
4,USNCO L2006,C,,,
5,USNCO L2006,A,,,
6,USNCO L2006,B,,,
7,USNCO L2006,D,,,
8,USNCO L2006,B,,,
9,USNCO L2006,D,,,
10,USNCO L2006,D,,,
11,USNCO L2006,C,,,
12,USNCO L2006,B,,,
13,USNCO L2006,A,,,
14,USNCO L2006,C,,,
15,USNCO L2006,A,,,
16,USNCO L2006,B,,,
17,USNCO L2006,D,,,
18,USNCO L2006,B,,,
19,USNCO L2006,A,,,
20,USNCO L2006,A,,,
21,USNCO L2006,C,,,
22,USNCO L2006,C,,,
23,USNCO L2006,B,,,
24,USNCO L2006,B,,,
25,USNCO L2006,D,,,
26,USNCO L2006,C,,,
27,USNCO L2006,B,,,
28,USNCO L2006,D,,,
29,USNCO L2006,C,,,
30,USNCO L2006,A,,,
31,USNCO L2006,A,,,
32,USNCO L2006,C,,,
33,USNCO L2006,A,,,
34,USNCO L2006,D,,,
35,USNCO L2006,B,,,
36,USNCO L2006,D,,,
37,USNCO L2006,B,,,
38,USNCO L2006,D,,,
39,USNCO L2006,B,,,
40,USNCO L2006,B,,,
41,USNCO L2006,A,,,
42,USNCO L2006,C,,,
43,USNCO L2006,D,,,
44,USNCO L2006,C,,,
45,USNCO L2006,A,,,
46,USNCO L2006,B,,,
47,USNCO L2006,B,,,
48,USNCO L2006,C,,,
49,USNCO L2006,A,,,
50,USNCO L2006,A,,,
51,USNCO L2006,D,,,
52,USNCO L2006,D,,,
53,USNCO L2006,C,,,
54,USNCO L2006,D,,,
55,USNCO L2006,B,,,
56,USNCO L2006,D,,,
57,USNCO L2006,B,,,
58,USNCO L2006,A,,,
59,USNCO L2006,C,,,
60,USNCO L2006,B,,,
1,USNCO L2005,D,,,
2,USNCO L2005,B,,,
3,USNCO L2005,A,,,
4,USNCO L2005,A,,,
5,USNCO L2005,B,,,
6,USNCO L2005,D,,,
7,USNCO L2005,C,,,
8,USNCO L2005,D,,,
9,USNCO L2005,C,,,
10,USNCO L2005,D,,,
11,USNCO L2005,C,,,
12,USNCO L2005,A,,,
13,USNCO L2005,D,,,
14,USNCO L2005,A,,,
15,USNCO L2005,B,,,
16,USNCO L2005,B,,,
17,USNCO L2005,A,,,
18,USNCO L2005,D,,,
19,USNCO L2005,D,,,
20,USNCO L2005,D,,,
21,USNCO L2005,A,,,
22,USNCO L2005,B,,,
23,USNCO L2005,B,,,
24,USNCO L2005,A,,,
25,USNCO L2005,B,,,
26,USNCO L2005,C,,,
27,USNCO L2005,C,,,
28,USNCO L2005,D,,,
29,USNCO L2005,D,,,
30,USNCO L2005,A,,,
31,USNCO L2005,B,,,
32,USNCO L2005,B,,,
33,USNCO L2005,B,,,
34,USNCO L2005,B,,,
35,USNCO L2005,C,,,
36,USNCO L2005,D,,,
37,USNCO L2005,C,,,
38,USNCO L2005,B,,,
39,USNCO L2005,D,,,
40,USNCO L2005,A,,,
41,USNCO L2005,A,,,
42,USNCO L2005,C,,,
43,USNCO L2005,C,,,
44,USNCO L2005,B,,,
45,USNCO L2005,D,,,
46,USNCO L2005,A,,,
47,USNCO L2005,D,,,
48,USNCO L2005,B,,,
49,USNCO L2005,D,,,
50,USNCO L2005,C,,,
51,USNCO L2005,A,,,
52,USNCO L2005,B,,,
53,USNCO L2005,D,,,
54,USNCO L2005,A,,,
55,USNCO L2005,D,,,
56,USNCO L2005,B,,,
57,USNCO L2005,C,,,
58,USNCO L2005,D,,,
59,USNCO L2005,D,,,
60,USNCO L2005,B,,,
1,USNCO L2004,A,,,
2,USNCO L2004,D,,,
3,USNCO L2004,C,,,
4,USNCO L2004,C,,,
5,USNCO L2004,C,,,
6,USNCO L2004,D,,,
7,USNCO L2004,A,,,
8,USNCO L2004,D,,,
9,USNCO L2004,A,,,
10,USNCO L2004,C,,,
11,USNCO L2004,B,,,
12,USNCO L2004,D,,,
13,USNCO L2004,C,,,
14,USNCO L2004,C,,,
15,USNCO L2004,A,,,
16,USNCO L2004,A,,,
17,USNCO L2004,A,,,
18,USNCO L2004,D,,,
19,USNCO L2004,A,,,
20,USNCO L2004,B,,,
21,USNCO L2004,D,,,
22,USNCO L2004,A,,,
23,USNCO L2004,B,,,
24,USNCO L2004,A,,,
25,USNCO L2004,D,,,
26,USNCO L2004,C,,,
27,USNCO L2004,A,,,
28,USNCO L2004,C,,,
29,USNCO L2004,C,,,
30,USNCO L2004,B,,,
31,USNCO L2004,C,,,
32,USNCO L2004,D,,,
33,USNCO L2004,B,,,
34,USNCO L2004,A,,,
35,USNCO L2004,B,,,
36,USNCO L2004,D,,,
37,USNCO L2004,B,,,
38,USNCO L2004,B,,,
39,USNCO L2004,D,,,
40,USNCO L2004,B,,,
41,USNCO L2004,A,,,
42,USNCO L2004,D,,,
43,USNCO L2004,D,,,
44,USNCO L2004,B,,,
45,USNCO L2004,D,,,
46,USNCO L2004,B,,,
47,USNCO L2004,D,,,
48,USNCO L2004,A,,,
49,USNCO L2004,A,,,
50,USNCO L2004,D,,,
51,USNCO L2004,A,,,
52,USNCO L2004,C,,,
53,USNCO L2004,C,,,
54,USNCO L2004,B,,,
55,USNCO L2004,A,,,
56,USNCO L2004,D,,,
57,USNCO L2004,B,,,
58,USNCO L2004,A,,,
59,USNCO L2004,D,,,
60,USNCO L2004,D,,,
1,USNCO L2003,B,,,
2,USNCO L2003,D,,,
3,USNCO L2003,A,,,
4,USNCO L2003,C,,,
5,USNCO L2003,D,,,
6,USNCO L2003,D,,,
7,USNCO L2003,C,,,
8,USNCO L2003,C,,,
9,USNCO L2003,A,,,
10,USNCO L2003,D,,,
11,USNCO L2003,A,,,
12,USNCO L2003,D,,,
13,USNCO L2003,C,,,
14,USNCO L2003,A,,,
15,USNCO L2003,D,,,
16,USNCO L2003,A,,,
17,USNCO L2003,C,,,
18,USNCO L2003,C,,,
19,USNCO L2003,B,,,
20,USNCO L2003,B,,,
21,USNCO L2003,A,,,
22,USNCO L2003,B,,,
23,USNCO L2003,D,,,
24,USNCO L2003,C,,,
25,USNCO L2003,C,,,
26,USNCO L2003,D,,,
27,USNCO L2003,D,,,
28,USNCO L2003,C,,,
29,USNCO L2003,B,,,
30,USNCO L2003,A,,,
31,USNCO L2003,D,,,
32,USNCO L2003,A,,,
33,USNCO L2003,B,,,
34,USNCO L2003,D,,,
35,USNCO L2003,C,,,
36,USNCO L2003,B,,,
37,USNCO L2003,B,,,
38,USNCO L2003,A,,,
39,USNCO L2003,B,,,
40,USNCO L2003,C,,,
41,USNCO L2003,A,,,
42,USNCO L2003,D,,,
43,USNCO L2003,A,,,
44,USNCO L2003,C,,,
45,USNCO L2003,B,,,
46,USNCO L2003,B,,,
47,USNCO L2003,C,,,
48,USNCO L2003,A,,,
49,USNCO L2003,D,,,
50,USNCO L2003,A,,,
51,USNCO L2003,D,,,
52,USNCO L2003,A,,,
53,USNCO L2003,D,,,
54,USNCO L2003,B,,,
55,USNCO L2003,A,,,
56,USNCO L2003,A,,,
57,USNCO L2003,C,,,
58,USNCO L2003,A,,,
59,USNCO L2003,B,,,
60,USNCO L2003,C,,,
1,USNCO L2002,C,,,
2,USNCO L2002,B,,,
3,USNCO L2002,A,,,
4,USNCO L2002,D,,,
5,USNCO L2002,C,,,
6,USNCO L2002,B,,,
7,USNCO L2002,A,,,
8,USNCO L2002,A,,,
9,USNCO L2002,C,,,
10,USNCO L2002,D,,,
11,USNCO L2002,A,,,
12,USNCO L2002,B,,,
13,USNCO L2002,C,,,
14,USNCO L2002,C,,,
15,USNCO L2002,A,,,
16,USNCO L2002,B,,,
17,USNCO L2002,D,,,
18,USNCO L2002,C,,,
19,USNCO L2002,B,,,
20,USNCO L2002,A,,,
21,USNCO L2002,D,,,
22,USNCO L2002,C,,,
23,USNCO L2002,C,,,
24,USNCO L2002,A,,,
25,USNCO L2002,B,,,
26,USNCO L2002,B,,,
27,USNCO L2002,D,,,
28,USNCO L2002,B,,,
29,USNCO L2002,D,,,
30,USNCO L2002,D,,,
31,USNCO L2002,B,,,
32,USNCO L2002,A,,,
33,USNCO L2002,D,,,
34,USNCO L2002,C,,,
35,USNCO L2002,A,,,
36,USNCO L2002,B,,,
37,USNCO L2002,D,,,
38,USNCO L2002,C,,,
39,USNCO L2002,A,,,
40,USNCO L2002,D,,,
41,USNCO L2002,A,,,
42,USNCO L2002,B,,,
43,USNCO L2002,A,,,
44,USNCO L2002,C,,,
45,USNCO L2002,D,,,
46,USNCO L2002,C,,,
47,USNCO L2002,A,,,
48,USNCO L2002,B,,,
49,USNCO L2002,C,,,
50,USNCO L2002,B,,,
51,USNCO L2002,D,,,
52,USNCO L2002,D,,,
53,USNCO L2002,C,,,
54,USNCO L2002,A,,,
55,USNCO L2002,D,,,
56,USNCO L2002,A,,,
57,USNCO L2002,C,,,
58,USNCO L2002,B,,,
59,USNCO L2002,D,,,
60,USNCO L2002,A,,,
1,USNCO L2001,D,,,
2,USNCO L2001,B,,,
3,USNCO L2001,B,,,
4,USNCO L2001,A,,,
5,USNCO L2001,B,,,
6,USNCO L2001,C,,,
7,USNCO L2001,A,,,
8,USNCO L2001,A,,,
9,USNCO L2001,C,,,
10,USNCO L2001,A,,,
11,USNCO L2001,D,,,
12,USNCO L2001,D,,,
13,USNCO L2001,B,,,
14,USNCO L2001,D,,,
15,USNCO L2001,C,,,
16,USNCO L2001,B,,,
17,USNCO L2001,A,,,
18,USNCO L2001,D,,,
19,USNCO L2001,C,,,
20,USNCO L2001,C,,,
21,USNCO L2001,D,,,
22,USNCO L2001,C,,,
23,USNCO L2001,B,,,
24,USNCO L2001,C,,,
25,USNCO L2001,D,,,
26,USNCO L2001,B,,,
27,USNCO L2001,A,,,
28,USNCO L2001,D,,,
29,USNCO L2001,C,,,
30,USNCO L2001,A,,,
31,USNCO L2001,B,,,
32,USNCO L2001,B,,,
33,USNCO L2001,D,,,
34,USNCO L2001,B,,,
35,USNCO L2001,D,,,
36,USNCO L2001,A,,,
37,USNCO L2001,A,,,
38,USNCO L2001,D,,,
39,USNCO L2001,A,,,
40,USNCO L2001,A,,,
41,USNCO L2001,B,,,
42,USNCO L2001,A,,,
43,USNCO L2001,B,,,
44,USNCO L2001,C,,,
45,USNCO L2001,D,,,
46,USNCO L2001,D,,,
47,USNCO L2001,B,,,
48,USNCO L2001,B,,,
49,USNCO L2001,A,,,
50,USNCO L2001,C,,,
51,USNCO L2001,A,,,
52,USNCO L2001,D,,,
53,USNCO L2001,B,,,
54,USNCO L2001,C,,,
55,USNCO L2001,D,,,
56,USNCO L2001,A,,,
57,USNCO L2001,C,,,
58,USNCO L2001,A,,,
59,USNCO L2001,B,,,
60,USNCO L2001,C,,,
1,USNCO L2000,B,,,
2,USNCO L2000,A,,,
3,USNCO L2000,D,,,
4,USNCO L2000,C,,,
5,USNCO L2000,D,,,
6,USNCO L2000,D,,,
7,USNCO L2000,B,,,
8,USNCO L2000,B,,,
9,USNCO L2000,C,,,
10,USNCO L2000,B,,,
11,USNCO L2000,A,,,
12,USNCO L2000,C,,,
13,USNCO L2000,D,,,
14,USNCO L2000,A,,,
15,USNCO L2000,D,,,
16,USNCO L2000,A,,,
17,USNCO L2000,C,,,
18,USNCO L2000,B,,,
19,USNCO L2000,C,,,
20,USNCO L2000,C,,,
21,USNCO L2000,D,,,
22,USNCO L2000,A,,,
23,USNCO L2000,D,,,
24,USNCO L2000,B,,,
25,USNCO L2000,A,,,
26,USNCO L2000,B,,,
27,USNCO L2000,A,,,
28,USNCO L2000,C,,,
29,USNCO L2000,D,,,
30,USNCO L2000,B,,,
31,USNCO L2000,B,,,
32,USNCO L2000,C,,,
33,USNCO L2000,B,,,
34,USNCO L2000,A,,,
35,USNCO L2000,B,,,
36,USNCO L2000,D,,,
37,USNCO L2000,C,,,
38,USNCO L2000,D,,,
39,USNCO L2000,A,,,
40,USNCO L2000,C,,,
41,USNCO L2000,C,,,
42,USNCO L2000,D,,,
43,USNCO L2000,C,,,
44,USNCO L2000,A,,,
45,USNCO L2000,B,,,
46,USNCO L2000,D,,,
47,USNCO L2000,B,,,
48,USNCO L2000,C,,,
49,USNCO L2000,C,,,
50,USNCO L2000,D,,,
51,USNCO L2000,A,,,
52,USNCO L2000,B,,,
53,USNCO L2000,D,,,
54,USNCO L2000,D,,,
55,USNCO L2000,A,,,
56,USNCO L2000,A,,,
57,USNCO L2000,C,,,
58,USNCO L2000,A,,,
59,USNCO L2000,B,,,
60,USNCO L2000,D,,,
1,WCC 2021 Part I,C,94.0%,,
2,WCC 2021 Part I,D,77.4%,,
3,WCC 2021 Part I,A,82.0%,,
4,WCC 2021 Part I,B,20.3%,,
5,WCC 2021 Part I,D,42.1%,,
6,WCC 2021 Part I,C,70.7%,,
7,WCC 2021 Part I,C,40.6%,,
8,WCC 2021 Part I,D,12.8%,,
9,WCC 2021 Part I,D,44.4%,,
10,WCC 2021 Part I,B,73.7%,,
11,WCC 2021 Part I,D,54.9%,,
12,WCC 2021 Part I,B,40.6%,,
13,WCC 2021 Part I,C,42.1%,,
14,WCC 2021 Part I,B,33.8%,,
15,WCC 2021 Part I,A,60.9%,,
16,WCC 2021 Part I,B,72.2%,,
17,WCC 2021 Part I,A,66.2%,,
18,WCC 2021 Part I,A,49.6%,,
19,WCC 2021 Part I,A,30.8%,,
20,WCC 2021 Part I,B,85.7%,,
21,WCC 2021 Part I,B,91.0%,,
22,WCC 2021 Part I,C,32.3%,,
23,WCC 2021 Part I,D,39.1%,,
24,WCC 2021 Part I,B,20.3%,,
25,WCC 2021 Part I,D,66.9%,,
26,WCC 2021 Part I,B,26.3%,,
27,WCC 2021 Part I,B,57.1%,,
28,WCC 2021 Part I,C,47.4%,,
29,WCC 2021 Part I,D,57.9%,,
30,WCC 2021 Part I,A,18.1%,,
31,WCC 2021 Part I,C,82.7%,,
32,WCC 2021 Part I,D,54.1%,,
33,WCC 2021 Part I,C,55.6%,,
34,WCC 2021 Part I,A,13.5%,,
35,WCC 2021 Part I,C,43.6%,,
36,WCC 2021 Part I,B,34.6%,,
37,WCC 2021 Part I,D,7.52%,,
38,WCC 2021 Part I,C,70.7%,,
39,WCC 2021 Part I,C,72.2%,,
40,WCC 2021 Part I,C,23.3%,,
41,WCC 2021 Part I,B,48.9%,,
42,WCC 2021 Part I,B,36.8%,,
43,WCC 2021 Part I,A,33.1%,,
44,WCC 2021 Part I,D,55.6%,,
45,WCC 2021 Part I,C,59.4%,,
46,WCC 2021 Part I,B,67.7%,,
47,WCC 2021 Part I,D,,,
48,WCC 2021 Part I,D,25.6%,,
49,WCC 2021 Part I,B,36.1%,,
50,WCC 2021 Part I,D,40.6%,,
51,WCC 2021 Part I,B,44.36,,
52,WCC 2021 Part I,B,54.9%,,
53,WCC 2021 Part I,A,67.7%,,
54,WCC 2021 Part I,B,48.9%,,
55,WCC 2021 Part I,C,52.6%,,
56,WCC 2021 Part I,C,39.9%,,
57,WCC 2021 Part I,A,33.1%,,
58,WCC 2021 Part I,B,19.6%,,
59,WCC 2021 Part I,C,37.6%,,
60,WCC 2021 Part I,B,20.3%,,